g_force_x, g_force_y, g_force_z
-0.0807974, 0.25379527, -0.55692273
-0.08909056, 0.25062442, -0.562045
-0.036374077, 0.24403864, -0.57671046
-0.019787738, 0.23330635, -0.56887466
-0.07030898, 0.22867194, -0.5674112
-0.08738314, 0.22184223, -0.54667825
-0.021739073, 0.20208494, -0.50420624
0.037075333, 0.18693163, -0.48225373
0.0051222504, 0.17424795, -0.47518018
-0.073723815, 0.1864438, -0.4905469
-0.1027499, 0.207939, -0.44587967
-0.051252995, 0.225501, -0.42343935
-0.0031709154, 0.24428254, -0.4251468
-0.032471407, 0.26846078, -0.4378304
-0.06543065, 0.27870533, -0.48347333
-0.0136898225, 0.23550156, -0.5288723
0.051710337, 0.20010312, -0.5754909
0.014391083, 0.20034704, -0.55863017
-0.09713981, 0.24720958, -0.5539957
-0.12570857, 0.26528993, -0.5469222
-0.029544406, 0.23964813, -0.55375177
0.04756375, 0.20306069, -0.53131145
0.007561417, 0.1840047, -0.48542467
-0.0646989, 0.17473578, -0.4671309
-0.065674566, 0.14226438, -0.43270817
-0.036374077, 0.13567868, -0.44514793
-0.04149632, 0.15497859, -0.42246366
-0.09811548, 0.19668837, -0.40734085
-0.11640924, 0.22062267, -0.39072403
-0.044179406, 0.19863966, -0.38926053
0.029270003, 0.17400405, -0.4378304
0.025123417, 0.15400293, -0.45270932
-0.03954499, 0.1730284, -0.47347274
-0.07274815, 0.18741944, -0.4742045
-0.021495156, 0.18132158, -0.50396234
0.027562585, 0.16229612, -0.49274215
-0.012470239, 0.15644205, -0.47225317
-0.07396773, 0.17278449, -0.46591136
-0.042959824, 0.17058928, -0.42100018
0.035611834, 0.16815008, -0.40173078
0.041221917, 0.17058928, -0.36925936
-0.027349155, 0.18693163, -0.36218575
-0.04539899, 0.16375957, -0.34191018
0.0024391667, 0.117628865, -0.32776302
0.0336605, 0.10226207, -0.32459214
2.4391727E-4, 0.10689648, -0.31946984
-0.06445498, 0.14226438, -0.3358123
